start,end,location_id
21543168,21693439,14614
21693440,21693695,41997
21693696,21694207,14614
21694208,21694463,113592
21694464,21694719,14614
21694720,21694975,104438
21694976,21695487,14614
21695488,21695743,112195
21695744,21695999,113558
21696000,21698047,14614
21698048,21698303,42869
21698304,21698815,14614
21698816,21699071,111857
21699072,21699583,14614
21699584,21699967,110111
21699968,21700031,14614
21700032,21700095,110111
21700096,21732351,14614
21732352,21732607,336679
21732608,21751455,14614
21751456,21751487,112028
21751488,21752319,14614
21752320,21752575,336629
21752576,21752831,41997
21752832,21753343,14614
21753344,21753599,112924
21753600,21849343,14614
21849344,21849599,341449
21849600,21889023,14614
21889024,21889535,337928
21889536,21889791,336695
21889792,21892607,14614
21892608,21892863,21250
21892864,21892991,111857
21892992,21893119,111998
21893120,21895935,14614
21895936,21896191,341375
21896192,21958399,14614
21958400,21958655,114069
21958656,21959935,14614
21959936,21960191,112022
21960192,21960447,14614
21960448,21960703,112582
21960704,22020095,14614
22020096,22544383,104038
22544384,23068671,24328
23068672,24117247,22883
24117248,24130815,111
24130816,24131071,14614
24131072,24139007,111
24139008,24139263,112664
24139264,24139519,111
24139520,24139775,107179
24139776,24150015,111
24150016,24150271,232144
24150272,24151039,111
24151040,24151295,104208
24151296,24153599,111
24153600,24153855,42869
24153856,24154623,111
24154624,24154879,14614
24154880,24155135,111
24155136,24155391,14614
24155392,24158463,111
24158464,24158719,336674
24158720,24159743,111
24159744,24159999,14614
24160000,24165631,111
24165632,24165887,14614
24165888,24166911,111
24166912,24167167,14614
24167168,24172543,111
24172544,24172799,14614
24172800,24173055,341604
24173056,24182015,111
24182016,24182271,14614
24182272,24186879,111
24186880,24187135,14614
24187136,24191743,111
24191744,24191999,112111
24192000,24202495,111
24202496,24202751,37046
24202752,24219647,111
24219648,24219903,14614
24219904,24220415,111
24220416,24220671,41997
24220672,24239359,111
24239360,24239615,336674
24239616,24244735,111
24244736,24244991,341375
24244992,24247551,111
24247552,24247807,336674
24247808,24272639,111
24272640,24272895,68415
24272896,24303103,111
24303104,24303359,336685
24303360,24304639,111
24304640,24304895,112447
24304896,24305919,111
24305920,24306175,24917
24306176,24324351,111
24324352,24324607,109521
24324608,24325119,111
24325120,24325375,125116
24325376,24363263,111
24363264,24363519,34320
24363520,24363583,111
24363584,24363615,113282
24363616,24363647,111
24363648,24363679,24917
24363680,24363743,111
24363744,24363775,24917
24363776,24364095,111
24364096,24364159,47665
24364160,24364287,111
24364288,24364415,336677
24364416,24364447,336679
24364448,24364543,336677
24364544,24364799,111
24364800,24365055,336678
24365056,24379391,111
24379392,24641535,49
24641536,24641791,17
24641792,24642047,125382
24642048,24646399,17
24646400,24646655,124669
24646656,24647423,17
24647424,24647679,423241
24647680,24647935,384470
24647936,24651007,17
24651008,24651263,108579
24651264,24651519,17
24651520,24651775,423158
24651776,24666111,17
24666112,24668159,11716
24668160,24669183,423150
24669184,24670207,11716
24670208,24674303,17
24674304,24674815,11716
24674816,24675071,423239
24675072,24675199,384977
24675200,24675327,428778
24675328,24684543,11716
24684544,24685567,186209
24685568,24685823,423259
24685824,24686591,411243
24686592,24687615,109860
24687616,24687871,17
24687872,24688127,411243
24688128,24688895,11716
24688896,24689023,17
24689024,24689151,423157
24689152,24689407,11716
24689408,24689663,17
24689664,24692735,11716
24692736,24692991,384278
24692992,24693247,17
24693248,24693503,428113
24693504,24694015,17
24694016,24694271,30838
24694272,24694527,17
24694528,24694783,423158
24694784,24695295,124667
24695296,24695551,11716
24695552,24695807,411243
24695808,24696063,428145
24696064,24696319,17
24696320,24696575,11716
24696576,24697087,17
24697088,24697343,42148
24697344,24698111,17
24698112,24698367,427712
24698368,24701183,17
24701184,24701439,423157
24701440,24731647,17
24731648,24734719,11716
24734720,24734975,423198
24734976,24735103,11716
24735104,24735231,104885
24735232,24735743,11716
24735744,24739839,17
24739840,24740863,423267
24740864,24741887,11716
24741888,24742143,384447
24742144,24742399,108500
24742400,24744447,11716
24744448,24744703,17
24744704,24744959,423145
24744960,24745983,423170
24745984,24746239,11716
